,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.hostMobile[*].app[1].startTime,*.manager.host,*.manager.useVadereSeed,*.radioMedium.obstacleLoss.typename,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,,,
0,0,254.0,1.79mW,2011B,250s,"""vadere_Sample__0_0""",true,"""""",65722447231342458,True,[0.635],[0.635],[0.635],[0.635]
1,0,10.0,1.42mW,3011B,250s,"""vadere_Sample__1_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025]
2,0,10.0,1.42mW,746B,250s,"""vadere_Sample__2_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025]
3,0,10.0,1.16mW,3011B,250s,"""vadere_Sample__3_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025]
4,0,10.0,1.16mW,746B,250s,"""vadere_Sample__4_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025]
5,0,131.0,0.88mW,2880B,250s,"""vadere_Sample__5_0""",true,"""""",65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275]
6,0,122.0,1.8mW,3943B,250s,"""vadere_Sample__6_0""",true,"""""",65722447231342458,True,[0.305],[0.305],[0.305],[0.305]
7,0,122.0,1.51mW,3943B,250s,"""vadere_Sample__7_0""",true,"""""",65722447231342458,True,[0.305],[0.305],[0.305],[0.305]
8,0,172.0,1.15mW,3693B,250s,"""vadere_Sample__8_0""",true,"""""",65722447231342458,True,[0.43],[0.43],[0.43],[0.43]
9,0,137.0,1.91mW,3384B,250s,"""vadere_Sample__9_0""",true,"""""",65722447231342458,True,[0.3425],[0.3425],[0.3425],[0.3425]
10,0,146.0,1.58mW,3474B,250s,"""vadere_Sample__10_0""",true,"""""",65722447231342458,True,[0.365],[0.365],[0.365],[0.365]
11,0,159.0,1.96mW,3833B,250s,"""vadere_Sample__11_0""",true,"""""",65722447231342458,True,[0.3975],[0.3975],[0.3975],[0.3975]
12,0,144.0,1.68mW,3900B,250s,"""vadere_Sample__12_0""",true,"""""",65722447231342458,True,[0.36],[0.36],[0.36],[0.36]
13,0,139.0,1.89mW,3708B,250s,"""vadere_Sample__13_0""",true,"""""",65722447231342458,True,[0.34750000000000003],[0.34750000000000003],[0.34750000000000003],[0.34750000000000003]
14,0,154.0,0.58mW,3771B,250s,"""vadere_Sample__14_0""",true,"""""",65722447231342458,True,[0.385],[0.385],[0.385],[0.385]
15,0,243.0,1.21mW,3712B,250s,"""vadere_Sample__15_0""",true,"""""",65722447231342458,True,[0.6075],[0.6075],[0.6075],[0.6075]
16,0,20.0,1.88mW,3244B,250s,"""vadere_Sample__16_0""",true,"""""",65722447231342458,True,[0.05],[0.05],[0.05],[0.05]
17,0,101.0,0.64mW,3052B,250s,"""vadere_Sample__17_0""",true,"""""",65722447231342458,True,[0.2525],[0.2525],[0.2525],[0.2525]
18,0,202.0,1.06mW,3177B,250s,"""vadere_Sample__18_0""",true,"""""",65722447231342458,True,[0.505],[0.505],[0.505],[0.505]
19,0,144.0,1.43mW,2619B,250s,"""vadere_Sample__19_0""",true,"""""",65722447231342458,True,[0.36],[0.36],[0.36],[0.36]
20,0,83.0,0.59mW,3869B,250s,"""vadere_Sample__20_0""",true,"""""",65722447231342458,True,[0.20750000000000002],[0.20750000000000002],[0.20750000000000002],[0.20750000000000002]
21,0,57.0,1.06mW,3681B,250s,"""vadere_Sample__21_0""",true,"""""",65722447231342458,True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002]
22,0,57.0,1.88mW,3681B,250s,"""vadere_Sample__22_0""",true,"""""",65722447231342458,True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002]
