id,run_id,Unnamed: 0,timeToInform95PercentAgents
0,0,0,3.6
1,0,0,0.8
2,0,0,0.8
3,0,0,0.8
4,0,0,0.8
5,0,0,23.59999999999998
6,0,0,5.6000000000000005
7,0,0,28.79999999999996
8,0,0,9.600000000000003
9,0,0,31.599999999999948
10,0,0,82.0000000000001
11,0,0,59.99999999999985
12,0,0,16.800000000000004
13,0,0,43.5999999999999
14,0,0,43.5999999999999
15,0,0,11.200000000000005
16,0,0,100.80000000000037
17,0,0,2.8
18,0,0,6.8000000000000025
19,0,0,100.80000000000037
20,0,0,16.800000000000004
21,0,0,1.6
22,0,0,18.8
23,0,0,11.600000000000005
