id,run_id,"('Parameter', 'dummy', 'number_of_agents_mean')","('Parameter', 'omnet', '**wlan[*].radio.transmitter.power')","('Parameter', 'omnet', '*.hostMobile[*].app[1].messageLength')","('Parameter', 'omnet', '*.hostMobile[*].app[1].startTime')","('Parameter', 'omnet', '*.manager.host')","('Parameter', 'omnet', '*.manager.useVadereSeed')","('Parameter', 'omnet', '*.radioMedium.obstacleLoss.typename')","('Parameter', 'vadere', 'attributesSimulation.fixedSeed')","('Parameter', 'vadere', 'attributesSimulation.useFixedSeed')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,254.0,1.79mW,2011B,250s,"""vadere_Sample__0_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.635],[0.635],[0.635],[0.635],161.8645944595337,0.0
1,0,10.0,1.42mW,3011B,250s,"""vadere_Sample__1_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],147.81152844429016,0.0
2,0,10.0,1.42mW,746B,250s,"""vadere_Sample__2_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],148.82838010787964,0.0
3,0,10.0,1.16mW,3011B,250s,"""vadere_Sample__3_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],147.05791759490967,0.0
4,0,10.0,1.16mW,746B,250s,"""vadere_Sample__4_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],148.41218447685242,0.0
5,0,131.0,0.88mW,2880B,250s,"""vadere_Sample__5_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275],148.1390209197998,0.0
6,0,122.0,1.8mW,3943B,250s,"""vadere_Sample__6_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.305],[0.305],[0.305],[0.305],147.72723484039307,0.0
7,0,122.0,1.51mW,3943B,250s,"""vadere_Sample__7_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.305],[0.305],[0.305],[0.305],148.40922355651855,0.0
8,0,172.0,1.15mW,3693B,250s,"""vadere_Sample__8_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.43],[0.43],[0.43],[0.43],148.9756109714508,0.0
9,0,137.0,1.91mW,3384B,250s,"""vadere_Sample__9_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.3425],[0.3425],[0.3425],[0.3425],149.0744504928589,0.0
10,0,146.0,1.58mW,3474B,250s,"""vadere_Sample__10_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.365],[0.365],[0.365],[0.365],148.8795669078827,0.0
11,0,159.0,1.96mW,3833B,250s,"""vadere_Sample__11_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.3975],[0.3975],[0.3975],[0.3975],147.44876742362976,0.0
12,0,144.0,1.68mW,3900B,250s,"""vadere_Sample__12_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.36],[0.36],[0.36],[0.36],148.66947555541992,0.0
13,0,139.0,1.89mW,3708B,250s,"""vadere_Sample__13_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.34750000000000003],[0.34750000000000003],[0.34750000000000003],[0.34750000000000003],148.26209783554077,0.0
14,0,154.0,0.58mW,3771B,250s,"""vadere_Sample__14_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.385],[0.385],[0.385],[0.385],148.74019050598145,0.0
15,0,243.0,1.21mW,3712B,250s,"""vadere_Sample__15_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.6075],[0.6075],[0.6075],[0.6075],61.384438276290894,0.0
16,0,20.0,1.88mW,3244B,250s,"""vadere_Sample__16_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.05],[0.05],[0.05],[0.05],73.6298623085022,0.0
17,0,101.0,0.64mW,3052B,250s,"""vadere_Sample__17_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.2525],[0.2525],[0.2525],[0.2525],74.38574743270874,0.0
18,0,202.0,1.06mW,3177B,250s,"""vadere_Sample__18_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.505],[0.505],[0.505],[0.505],73.96937727928162,0.0
19,0,144.0,1.43mW,2619B,250s,"""vadere_Sample__19_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.36],[0.36],[0.36],[0.36],73.92760729789734,0.0
20,0,83.0,0.59mW,3869B,250s,"""vadere_Sample__20_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.20750000000000002],[0.20750000000000002],[0.20750000000000002],[0.20750000000000002],73.99928069114685,0.0
21,0,57.0,1.06mW,3681B,250s,"""vadere_Sample__21_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],73.14305686950684,0.0
22,0,57.0,1.88mW,3681B,250s,"""vadere_Sample__22_0""",true,"""IdealObstacleLoss""",65722447231342458,True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],72.66454482078552,0.0
